Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Arnaut Groeneveld,nl NED,MF,22,14,6,630,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,0.13,0.04,0.17,0.13,0.17,Matches
Andrew Surman,eng ENG,MF,32,5,2,235,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Charlie Daniels,eng ENG,DF,32,2,2,126,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches
Jack Simpson,eng ENG,DF,22,4,1,241,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Mark Travers,ie IRL,GK,20,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jordon Ibe,eng ENG,DF,23,2,0,50,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sam Surridge,eng ENG,FW,21,4,0,27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,1.57,0.00,1.57,1.57,1.57,Matches
Artur Boruc,pl POL,GK,39,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Mihai Dobre,ro ROU,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Gavin Kilkenny,ie IRL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Christian Saydee,lr LBR,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Mathew Ryan,au AUS,GK,27,38,38,"3,420",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lewis Dunk,eng ENG,DF,27,36,36,"3,230",3,3,0,0,9,0,0.08,0.08,0.17,0.08,0.17,4.2,4.2,1.1,0.12,0.03,0.15,0.12,0.15,Matches
Dan Burn,eng ENG,DF,27,34,33,"2,880",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,1.3,0.05,0.04,0.09,0.05,0.09,Matches
Davy Pröpper,nl NED,MF,27,35,32,"2,829",1,2,0,0,4,0,0.03,0.06,0.10,0.03,0.10,1.5,1.5,2.0,0.05,0.07,0.11,0.05,0.11,Matches
Adam Webster,eng ENG,DF,24,31,31,"2,668",3,1,0,0,4,0,0.10,0.03,0.13,0.10,0.13,1.2,1.2,1.2,0.04,0.04,0.08,0.04,0.08,Matches
Neal Maupay,fr FRA,FW,22,37,30,"2,766",10,3,1,2,3,0,0.33,0.10,0.42,0.29,0.39,11.6,10.1,2.5,0.39,0.08,0.47,0.34,0.42,Matches
Dale Stephens,eng ENG,MF,30,33,28,"2,530",0,1,0,0,8,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,1.1,0.02,0.04,0.07,0.02,0.07,Matches
Aaron Mooy,au AUS,"MF,FW",28,31,25,"2,085",2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,2.0,2.0,3.6,0.09,0.16,0.24,0.09,0.24,Matches
Martín Montoya,es ESP,DF,28,27,23,"1,896",0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.5,0.06,0.07,0.13,0.06,0.13,Matches
Leandro Trossard,be BEL,"FW,MF",24,31,22,"2,011",5,3,0,0,0,0,0.22,0.13,0.36,0.22,0.36,4.7,4.7,3.9,0.21,0.17,0.39,0.21,0.39,Matches
Pascal Groß,de GER,"FW,MF",28,29,22,"1,796",2,4,0,0,4,0,0.10,0.20,0.30,0.10,0.30,1.8,1.8,5.4,0.09,0.27,0.36,0.09,0.36,Matches
Yves Bissouma,ml MLI,MF,22,22,15,"1,259",1,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.2,0.03,0.01,0.04,0.03,0.04,Matches
Aaron Connolly,ie IRL,FW,19,24,14,"1,258",3,1,0,0,0,0,0.21,0.07,0.29,0.21,0.29,2.7,2.7,0.3,0.21,0.03,0.24,0.21,0.24,Matches
Shane Duffy,ie IRL,DF,27,19,12,"1,238",1,0,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.6,1.6,0.0,0.12,0.00,0.12,0.12,0.12,Matches
Steven Alzate,co COL,"MF,DF",20,19,12,"1,188",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.7,0.08,0.05,0.14,0.08,0.14,Matches
