player,nationality,position,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches,team
Rob Holding,eng ENG,DF,23,8,581,73,17.0,6.5,6,88,2,28,10,1.63,11,9,+2,+0.31,+0.12,9.1,10.8,-1.7,-0.27,-0.10,Matches,Arsenal
Nacho Monreal,es ESP,DF,33,3,270,90,7.9,3.0,3,90,0,,0,2.00,4,4,0,0.00,-0.23,2.8,4.3,-1.5,-0.49,-0.33,Matches,Arsenal
Cédric Soares,pt POR,DF,27,5,249,50,7.3,2.8,3,76,2,11,1,1.80,4,2,+2,+0.72,+0.55,2.1,4.0,-1.9,-0.67,-0.52,Matches,Arsenal
Pablo Marí,es ESP,DF,25,2,113,57,3.3,1.3,2,57,0,,0,1.50,1,0,+1,+0.80,+0.61,1.5,1.9,-0.4,-0.32,-0.14,Matches,Arsenal
Henrikh Mkhitaryan,am ARM,FW,30,3,112,37,3.3,1.2,1,83,2,15,1,1.33,2,0,+2,+1.61,+1.44,1.6,0.5,+1.1,+0.91,+1.13,Matches,Arsenal
Emile Smith-Rowe,eng ENG,MF,19,2,97,49,2.8,1.1,1,65,1,32,2,0.50,0,0,0,0.00,-0.22,0.6,1.0,-0.4,-0.35,-0.17,Matches,Arsenal
Tyreece John-Jules,eng ENG,FW,18,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Arsenal
Matt Macey,eng ENG,GK,24,0,,,,,0,,0,,8,,,,,,,,,,,,Matches,Arsenal
Konstantinos Mavropanos,gr GRE,DF,21,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,Arsenal
Zechariah Medley,eng ENG,DF,19,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Arsenal
Matthew Smith,eng ENG,MF,18,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,Arsenal
Jack Grealish,eng ENG,"FW,MF",23,36,"3,233",90,94.5,35.9,36,90,0,,0,0.97,39,63,-24,-0.67,+0.29,38.3,61.0,-22.8,-0.63,+0.74,Matches,Aston Villa
Tyrone Mings,eng ENG,DF,26,33,"2,902",88,84.9,32.2,33,88,0,,0,0.97,36,53,-17,-0.53,+1.04,34.1,51.7,-17.6,-0.55,+0.84,Matches,Aston Villa
Douglas Luiz,br BRA,MF,21,36,"2,612",73,76.4,29.0,28,87,8,20,1,0.94,29,51,-22,-0.76,-0.31,29.7,51.3,-21.6,-0.75,-0.30,Matches,Aston Villa
John McGinn,sco SCO,MF,24,28,"2,312",83,67.6,25.7,27,84,1,31,0,0.89,29,41,-12,-0.47,+0.67,29.7,40.2,-10.6,-0.41,+0.81,Matches,Aston Villa
Matt Targett,eng ENG,DF,23,28,"2,291",82,67.0,25.5,27,83,1,54,2,1.00,30,40,-10,-0.39,+0.88,29.9,45.2,-15.4,-0.60,+0.21,Matches,Aston Villa
Anwar El Ghazi,nl NED,"FW,MF",24,34,"2,051",60,60.0,22.8,26,74,8,17,3,0.85,26,48,-22,-0.97,-0.70,27.1,40.3,-13.2,-0.58,+0.23,Matches,Aston Villa
Ezri Konsa,eng ENG,DF,21,25,"2,039",82,59.6,22.7,24,84,1,16,13,1.08,23,39,-16,-0.71,-0.05,22.1,38.8,-16.6,-0.73,-0.15,Matches,Aston Villa
Frederic Guilbert,fr FRA,DF,24,25,"2,041",82,59.7,22.7,22,88,3,35,6,1.04,29,36,-7,-0.31,+0.93,25.2,41.7,-16.4,-0.72,-0.13,Matches,Aston Villa
Wesley Moraes,br BRA,FW,22,21,"1,782",85,52.1,19.8,21,85,0,,0,1.00,26,31,-5,-0.25,+0.90,21.5,37.8,-16.3,-0.83,-0.32,Matches,Aston Villa
