player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches,team
Mamadou Sakho,fr FRA,DF,29,10.3,1,1,0,3,2,0,0,22,7,0,0,0,120,20,17,54.1,Matches,Crystal Palace
Jaïro Riedewald,nl NED,"DF,MF",22,8.5,0,0,0,3,2,0,6,15,12,0,0,0,90,6,2,75.0,Matches,Crystal Palace
Max Meyer,de GER,"MF,FW",23,7.3,1,0,0,6,16,2,9,9,8,0,0,0,50,3,7,30.0,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,32,3.0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,DF,19,2.2,1,0,0,1,1,0,4,3,2,0,0,0,18,1,6,14.3,Matches,Crystal Palace
Cenk Tosun,tr TUR,FW,28,2.0,0,0,0,4,4,1,2,0,2,0,0,0,9,5,16,23.8,Matches,Crystal Palace
Connor Wickham,eng ENG,"FW,MF",26,1.1,0,0,0,4,0,1,0,0,2,0,0,0,8,10,7,58.8,Matches,Crystal Palace
Brandon Pierrick,eng ENG,MF,17,0.2,0,0,0,0,0,0,2,1,0,,,0,,,,,Matches,Crystal Palace
Víctor Camarasa,es ESP,MF,25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,25,38.0,2,0,0,1,8,0,0,1,0,0,0,0,233,0,0,,Matches,Everton
Richarlison,br BRA,FW,22,34.1,8,0,0,43,72,17,56,12,45,0,1,0,222,68,126,35.1,Matches,Everton
Lucas Digne,fr FRA,DF,26,33.7,6,0,0,45,28,3,270,46,39,0,1,1,363,112,53,67.9,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,22,29.2,9,0,0,57,44,13,19,6,11,0,0,0,102,170,196,46.4,Matches,Everton
Gylfi Sigurðsson,is ISL,MF,29,28.4,3,0,0,34,23,2,131,36,45,0,0,0,241,18,28,39.1,Matches,Everton
Michael Keane,eng ENG,DF,26,28.4,3,0,0,21,8,0,0,46,26,0,1,1,297,133,77,63.3,Matches,Everton
Yerry Mina,co COL,DF,24,25.4,3,0,0,20,13,2,4,29,20,0,0,1,279,112,63,64.0,Matches,Everton
Mason Holgate,eng ENG,DF,22,22.8,5,0,0,17,25,1,2,32,28,0,0,0,207,42,31,57.5,Matches,Everton
Tom Davies,eng ENG,MF,21,22.5,8,0,0,29,40,1,8,34,18,0,0,0,252,34,31,52.3,Matches,Everton
Séamus Coleman,ie IRL,DF,30,20.4,5,1,1,19,19,1,42,24,31,0,0,0,211,30,23,56.6,Matches,Everton
Alex Iwobi,ng NGA,"MF,FW",23,17.7,0,0,0,12,4,0,48,13,14,0,0,0,145,7,15,31.8,Matches,Everton
Djibril Sidibé,fr FRA,DF,27,20.3,3,0,0,24,19,2,70,41,40,0,0,0,214,29,33,46.8,Matches,Everton
