player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches,team
Jack Cork,eng ENG,MF,30,29.0,743,933,79.6,12439,2768,34,62,54.8,586,688,85.2,123,183,67.2,0,0.7,-0.7,10,57,7,1,62,Matches,Burnley
Chris Wood,nz NZL,FW,27,27.1,312,483,64.6,4073,485,21,43,48.8,266,394,67.5,25,46,54.3,1,0.9,+0.1,19,10,5,0,16,Matches,Burnley
Charlie Taylor,eng ENG,DF,25,21.6,726,1035,70.1,13408,5642,10,51,19.6,565,666,84.8,151,318,47.5,1,1.4,-0.4,13,48,22,17,128,Matches,Burnley
Jeff Hendrick,ie IRL,MF,27,21.5,420,575,73.0,6881,1712,9,45,20.0,344,406,84.7,67,124,54.0,2,0.8,+1.2,12,25,10,2,48,Matches,Burnley
Phil Bardsley,sco SCO,DF,34,21.0,599,897,66.8,11391,5401,13,43,30.2,459,558,82.3,127,296,42.9,1,0.7,+0.3,7,67,15,2,112,Matches,Burnley
Erik Pieters,nl NED,"DF,MF",30,20.9,687,923,74.4,11937,4662,12,41,29.3,560,658,85.1,115,224,51.3,4,2.6,+1.4,17,38,15,6,104,Matches,Burnley
Jay Rodriguez,eng ENG,FW,30,22.4,345,495,69.7,4564,881,23,50,46.0,292,382,76.4,30,63,47.6,1,1.0,0.0,7,19,6,0,27,Matches,Burnley
Matthew Lowton,eng ENG,DF,30,17.0,497,726,68.5,9809,4188,8,24,33.3,360,440,81.8,129,262,49.2,1,1.1,-0.1,12,46,16,4,96,Matches,Burnley
Ashley Barnes,at AUT,FW,29,15.0,155,253,61.3,2120,552,7,22,31.8,134,187,71.7,14,44,31.8,0,0.5,-0.5,4,5,10,0,23,Matches,Burnley
Josh Brownhill,eng ENG,MF,23,8.9,276,340,81.2,4324,1063,10,15,66.7,229,262,87.4,37,63,58.7,0,0.1,-0.1,4,19,2,0,17,Matches,Burnley
Matěj Vydra,cz CZE,FW,27,9.1,102,138,73.9,1143,177,8,15,53.3,90,115,78.3,4,8,50.0,1,1.0,0.0,8,6,0,0,2,Matches,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,28,6.9,132,192,68.8,2533,691,1,5,20.0,97,122,79.5,34,65,52.3,1,0.8,+0.2,10,4,9,8,20,Matches,Burnley
Kevin Long,ie IRL,DF,28,6.3,142,186,76.3,3238,952,3,5,60.0,83,106,78.3,56,75,74.7,0,0.0,0.0,0,8,0,0,9,Matches,Burnley
Robbie Brady,ie IRL,MF,27,5.0,108,167,64.7,1703,673,3,8,37.5,89,118,75.4,16,41,39.0,2,0.3,+1.7,8,6,7,1,22,Matches,Burnley
Aaron Lennon,eng ENG,MF,32,5.5,92,131,70.2,1435,349,3,14,21.4,75,92,81.5,14,25,56.0,0,0.1,-0.1,2,5,2,1,8,Matches,Burnley
Danny Drinkwater,eng ENG,MF,29,0.6,11,20,55.0,183,39,0,3,0.0,10,12,83.3,1,5,20.0,0,0.0,0.0,0,0,0,0,2,Matches,Burnley
Max Thompson,eng ENG,FW,17,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,Burnley
César Azpilicueta,es ESP,DF,29,35.9,2267,2838,79.9,40338,15485,37,111,33.3,1873,2139,87.6,357,588,60.7,6,5.7,+0.3,43,147,60,28,288,Matches,Chelsea
Kepa Arrizabalaga,es ESP,GK,24,33.0,877,1086,80.8,23680,12292,0,0,,500,505,99.0,377,581,64.9,0,0.0,0.0,0,1,0,0,0,Matches,Chelsea
Mason Mount,eng ENG,"MF,FW",20,31.9,1116,1380,80.9,17835,4739,50,93,53.8,905,1023,88.5,161,264,61.0,5,4.6,+0.4,53,105,35,6,142,Matches,Chelsea
Willian,br BRA,FW,30,28.9,1247,1600,77.9,22452,5165,29,72,40.3,970,1129,85.9,248,399,62.2,7,6.9,+0.1,71,71,68,12,189,Matches,Chelsea
Jorginho,it ITA,MF,27,26.4,1955,2221,88.0,37518,9104,33,54,61.1,1480,1619,91.4,442,548,80.7,2,2.4,-0.4,23,238,31,1,191,Matches,Chelsea
Kurt Zouma,fr FRA,DF,24,26.0,1772,1982,89.4,41239,10424,7,23,30.4,1106,1190,92.9,659,769,85.7,0,0.2,-0.2,1,108,2,0,84,Matches,Chelsea
Tammy Abraham,eng ENG,FW,21,24.6,288,412,69.9,4211,813,26,54,48.1,223,305,73.1,39,53,73.6,3,2.6,+0.4,18,16,5,0,32,Matches,Chelsea
Mateo Kovačić,hr CRO,MF,25,23.0,1666,1846,90.2,32460,7941,24,42,57.1,1236,1312,94.2,406,492,82.5,3,1.9,+1.1,29,178,26,2,172,Matches,Chelsea
